                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.87351,                 4.8613,                 1.2451,                0.61178,                0.05405,                0.02805,                0.02233,                0.83561,                 3.9071,                 1.2157,              0.0033302,              0.0033302,              0.0033302
                      2,                 0.9365,                 3.7513,                  1.293,                0.44921,                0.13734,                0.07735,                0.05928,                0.92386,                 3.3119,                  1.295,              0.0065316,              0.0065316,              0.0065316
                      3,                 0.9793,                 3.3145,                 1.2976,                0.38519,                0.17586,                0.10656,                0.08021,                 0.9695,                 3.1756,                 1.3298,               0.009601,               0.009601,               0.009601
                      4,                 1.0019,                 3.1378,                 1.3064,                 0.3845,                0.19502,                0.14087,                0.10936,                0.95168,                 2.9262,                 1.2804,               0.009406,               0.009406,               0.009406
                      5,                0.95109,                 2.9141,                 1.2686,                0.34757,                0.24714,                 0.1831,                0.14261,                0.87607,                 2.7425,                 1.2152,               0.009208,               0.009208,               0.009208
                      6,                0.91966,                 2.7506,                 1.2467,                0.36056,                0.26867,                0.21178,                0.16494,                0.86819,                 2.5801,                 1.2047,                0.00901,                0.00901,                0.00901
                      7,                0.89873,                 2.6142,                 1.2312,                0.37627,                0.29826,                0.24986,                0.19868,                0.81293,                 2.4291,                 1.1692,               0.008812,               0.008812,               0.008812
                      8,                0.87722,                 2.4826,                 1.2163,                0.41979,                0.31225,                0.28695,                 0.2296,                0.78331,                  2.286,                 1.1501,               0.008614,               0.008614,               0.008614
                      9,                0.86665,                 2.3802,                 1.2086,                0.40031,                0.32767,                0.28602,                0.23132,                0.77087,                 2.2617,                 1.1395,               0.008416,               0.008416,               0.008416
                     10,                 0.8446,                 2.2833,                 1.1953,                 0.4884,                0.32801,                0.32871,                0.26623,                0.76511,                 2.1299,                 1.1318,               0.008218,               0.008218,               0.008218
                     11,                 0.8391,                 2.2088,                 1.1922,                0.39718,                0.38035,                0.34489,                0.28107,                0.76009,                 2.0826,                 1.1182,                0.00802,                0.00802,                0.00802
                     12,                0.83449,                 2.1483,                 1.1897,                0.39891,                0.38707,                 0.3615,                0.29705,                0.74666,                 2.0229,                 1.1256,               0.007822,               0.007822,               0.007822
                     13,                0.81647,                 2.0906,                 1.1753,                0.45932,                 0.3781,                0.37449,                0.31176,                0.72877,                 1.9888,                 1.1092,               0.007624,               0.007624,               0.007624
                     14,                0.81046,                 2.0432,                  1.171,                0.41503,                 0.4048,                0.38209,                0.31368,                0.72207,                 1.9217,                 1.0949,               0.007426,               0.007426,               0.007426
                     15,                0.80683,                 1.9976,                 1.1699,                0.42874,                0.41101,                0.40181,                0.33109,                0.71296,                 1.8965,                 1.0917,               0.007228,               0.007228,               0.007228
                     16,                0.79475,                 1.9493,                 1.1617,                0.47531,                0.40616,                0.41796,                0.34607,                0.70797,                 1.8502,                 1.0854,                0.00703,                0.00703,                0.00703
                     17,                0.78582,                 1.8994,                 1.1558,                0.48706,                0.40948,                0.43106,                0.35863,                0.69097,                    1.8,                 1.0741,               0.006832,               0.006832,               0.006832
                     18,                0.77935,                   1.87,                 1.1533,                0.49802,                0.42947,                0.44904,                0.37327,                0.68529,                  1.759,                 1.0694,               0.006634,               0.006634,               0.006634
                     19,                0.77444,                 1.8325,                 1.1481,                0.47993,                0.43467,                0.44297,                0.36792,                0.68973,                 1.7623,                 1.0715,               0.006436,               0.006436,               0.006436
                     20,                0.76611,                 1.8048,                  1.142,                0.50478,                0.43775,                0.46158,                0.38591,                0.67781,                 1.7061,                 1.0583,               0.006238,               0.006238,               0.006238
                     21,                0.76263,                 1.7868,                  1.139,                0.47811,                0.46833,                0.46713,                0.39125,                0.67416,                 1.6921,                 1.0619,                0.00604,                0.00604,                0.00604
                     22,                 0.7583,                 1.7605,                 1.1384,                  0.543,                0.44203,                0.47765,                0.40052,                0.66847,                 1.6651,                 1.0566,               0.005842,               0.005842,               0.005842
